plateforme;identifiant;url_actuelle;titre_vimeo;duree;etat;deja_dans_sanity;nb_usages;ou_elle_est_utilisee;URL_LIVID;fait
vimeo;851631334;https://vimeo.com/851631334;SERVIER - Cancer Colorectal - Nouvelle Charte - STFR;2:55;public;oui;1;fr:/realisations/servier-film-prevention-cancer-colorectal/;;
vimeo;1049312971;https://vimeo.com/1049312971;SFS - Enveloppe & Structure;3:43;public;oui;1;fr:/realisations/sfs-enveloppe-structure/;;
youtube;rLubGEXzxsw;https://youtu.be/rLubGEXzxsw;;;youtube;oui;1;fr:/realisations/sfs-film-corporate/;;
vimeo;834426702;https://vimeo.com/834426702;;;privée ou supprimée;oui;1;fr:/realisations/sfs-ligne-de-vie/;;
vimeo;1049312726;https://vimeo.com/1049312726;SFS - Menuiserie & Industrie;3:28;public;oui;1;fr:/realisations/sfs-menuiserie-industrie/;;
vimeo;246398183;https://vimeo.com/246398183;SGS - Protection Lab;1:53;public;oui;1;fr:/realisations/sgs-protection-lab-reportage-video/;;
vimeo;246398212;https://vimeo.com/246398212;;;public;oui;1;fr:/realisations/sgs-reportage-making-of/;;
vimeo;125736085;https://vimeo.com/125736085;Clip produit SPC Maxys;2:26;public;oui;1;fr:/realisations/spc-video-publicitaire-tournage-studio/;;
vimeo;1049316906;https://vimeo.com/1049316906;SSP - Présentation Globale;5:07;public;oui;1;fr:/realisations/ssp-presentation-globale/;;
vimeo;276252370;https://vimeo.com/276252370;30 ans Bocuse d’Or - Tamas Széll;2:02;public;oui;1;fr:/realisations/30-ans-bocuse-d-or-interview-video-tamas-szell/;;
vimeo;138906588;https://vimeo.com/138906588;QWARTZ - shopping center;3:09;public;oui;1;fr:/realisations/qwartz-video-de-presentation-centre-commercial/;;
vimeo;249080253;https://vimeo.com/249080253;FUBIZ TALKS 2017 clip report;2:35;public;oui;1;fr:/realisations/tetro-aftermovie-fubiztalks-2017/;;
vimeo;273336871;https://vimeo.com/273336871;AVENUE 83 - Inauguration;1:50;public;oui;1;fr:/realisations/tetro-avenue-83-after-movie-event/;;
vimeo;249080146;https://vimeo.com/249080146;Carre Senart clip inauguration;4:49;public;oui;1;fr:/realisations/tetro-carre-senart-show-drone/;;
vimeo;276230385;https://vimeo.com/276230385;Deep Web;2:03;public;oui;1;fr:/realisations/tetro-deepweb-clip-video-evenement/;;
vimeo;276251493;https://vimeo.com/276251493;Grand Hotel Dieu - Inauguration;2:10;public;oui;1;fr:/realisations/tetro-grand-hotel-dieu-video-event/;;
vimeo;164825656;https://vimeo.com/164825656;OX Project - Teaser Lancement Nuits Sonores;0:39;public;oui;1;fr:/realisations/tetro-ox-reportage-oeuvre-artistique/;;
vimeo;298172498;https://vimeo.com/298172498;STALACTITE LIGHT SHOW;5:31;public;oui;1;fr:/realisations/tetro-stalactite-light-show-video/;;
vimeo;747185427;https://vimeo.com/747185427;TETRO - FDL Saint-Jean 2021;2:16;public;oui;1;fr:/realisations/tetro-video-fete-des-lumieres-lyon-2021/;;
vimeo;834423367;https://vimeo.com/834423367;TETRO - FDL 2022 - Agorythm;0:59;public;oui;1;fr:/realisations/tetro-video-fete-des-lumieres-lyon-2022/;;
vimeo;544477699;https://vimeo.com/544477699;THX Médical – Dosamat digital 2.0;2:05;public;oui;1;fr:/realisations/thx-medical-dosamat-digital-2-0-motion-design/;;
vimeo;276246793;https://vimeo.com/276246793;CISCO - Video platform;2:09;public;oui;1;fr:/realisations/cisco-video-platform-animation-3d-motion-design/;;
vimeo;216160629;https://vimeo.com/216160629;SODEXO motion design;2:51;public;oui;1;fr:/realisations/motion-design-sodexo/;;
vimeo;1049302219;https://vimeo.com/1049302219;UNIHA - Voeux 2025;0:55;public;oui;1;fr:/realisations/uniha-carte-de-v-ux-video-2025/;;
vimeo;308058715;https://vimeo.com/308058715;VEAMA - Carte de voeux 2019;1:34;public;oui;1;fr:/realisations/veama-carte-de-voeux-2019/;;
vimeo;402221647;https://vimeo.com/402221647;Verizon Connect – Vidéo de présentation;2:04;public;oui;1;fr:/realisations/verizon-connect-video-de-presentation/;;
vimeo;1049320778;https://vimeo.com/1049320778;WMH - IRISOLARIS - Aftermovie - IrisDays 2024;4:03;public;oui;1;fr:/realisations/irisolaris-aftermovie-irisdays-2024/;;
vimeo;917510239;https://vimeo.com/917510239;bluevista | Le Motion-design chez bluevista;0:49;public;oui;2;fr:/actualites/bluevista-le-motion-design/ | fr:/realisations/le-motion-design-chez-bluevista/;;
youtube;tLn3mxyoyYE;https://youtu.be/tLn3mxyoyYE;;;youtube;oui;2;fr:/realisations/elistair-drone-orion-video-produit-en-animation-3d/ | fr:/realisations/elistair-orion-video-produit-animation-3d/;;
vimeo;273315091;https://vimeo.com/273315091;ABB - SNK Marine version UK;1:45;public;oui;2;fr:/realisations/abb-bloc-jonction-snk-animation-3d-fiction-marine/ | fr:/realisations/abb-snk-animation-3d-fiction-marine/;;
vimeo;904103616;https://vimeo.com/904103616;PNR VERCORS - Les chemins de la Liberté - La cabane des Carteaux;3:25;public;oui;3;ch:/video-promotionnelle/ | fr:/realisations/pnr-vercors-les-chemins-de-la-liberte-la-cabane-des-carteaux/ | fr:/video-promotionnelle/;;
