ancienne_url;nouvelle_url;code;motif;clics_12m
/actualites/bluevista-le-motion-design/;/realisations/motion-design-sodexo/;301;réalisation (score 2);2
/actualites/projet-de-realisation-video-360/;/realisations/projet-de-realisation-video-360/;301;réalisation (score 2);2
/nos-realisations/pisten-bully-360-vr-snowcat/;/realisations/pisten-bully-dameuse-video-360-vr/;301;réalisation (score 2);2
/actualites/showroom-virtuel-gf-machining-solutions/;/realisations/ensto-showroom-virtuel/;301;réalisation (score 2);2
/nos-realisations/artcurial-mapping/;/realisations/artcurial-video-mapping/;301;réalisation (score 2);2
/actualites/koesio-carte-de-voeux-2023/;/realisations/koesio-carte-de-v-ux-video-2023/;301;réalisation (score 3);2
/actualites/guitare-en-scene-2023/;/realisations/guitare-en-scene-edition-2023-video-evenement/;301;réalisation (score 3);2
/actualites/realisation-immersion-360-degres-dameuse-pisten-bully/;/realisations/pisten-bully-dameuse-video-360-vr/;301;réalisation (score 3);2
/nos-realisations/arrow-abox-memo/;/realisations/arrow-abox-memo-animation-3d/;301;réalisation (score 3);2
/nos-realisations/koesio-convention-2024/;/realisations/koesio-convention-2024/;301;réalisation (score 3);2
/nos-realisations/irisolaris-aftermovie-irisdays-2024/;/realisations/irisolaris-aftermovie-irisdays-2024/;301;réalisation (score 4);2
/nos-realisations/santos-i-grind-coffee-grinder-reveal/;/realisations/santos-i-grind-coffee-grinder-reveal/;301;réalisation (score 5);2
/nos-competences/video-aerienne-drone/;/savoir-faire/video-aerienne-drone/;301;savoir-faire — adresse conservée;2
/nos-competences/video-corporate-film-dentreprise/;(bluevista.ch — chantier séparé);—;suisse, hors périmètre;2
/mentions-legales/;(bluevista.ch — chantier séparé);—;suisse, hors périmètre;2
/nos-realisations/;(bluevista.ch — chantier séparé);—;suisse, hors périmètre;2
/bluevista-agence-metaverse/;(bluevista.ch — chantier séparé);—;suisse, hors périmètre;2
/realisation-video-geneve/;/realisation-video-geneve/;301;ville — adresse conservée;2
/our-skills/immersive-creation-virtual-reality/;/;301;à trancher;2
/nos-realisations/hitachi-cs-net/;/realisations/hitachi-cs-net-video-3d/;301;réalisation (score 1);1
/nos-realisations/deko-film-de-presentation/;/realisations/deko-film-de-presentation/;301;réalisation (score 1);1
/actualites/the-bluevista-metaverse-the-blueverse/;/realisations/blueverse/;301;réalisation (score 1);1
/actualites/getlive-tv-3-0-wbe-tv-according-to-bluevista/;/realisations/getlive-tv-3-0-la-wbe-tv-selon-bluevista/;301;réalisation (score 1);1
/nos-realisations/40-ans-siparex/;/realisations/40-ans-siparex-videomapping/;301;réalisation (score 1);1
/actualites/blueverse/;/realisations/blueverse/;301;réalisation (score 1);1
/actualites/barpi-industrial-accident-prevention/;/realisations/barpi-prevention-accidents/;301;réalisation (score 2);1
/nos-realisations/bluevista-showreel-2020/;/realisations/bluevista-showreel-video-2020/;301;réalisation (score 2);1
/nos-realisations/olinn-video-publicitaire/;/realisations/olinn-video-publicitaire/;301;réalisation (score 2);1
/actualites/animation-3d-produit-hitachi-csnet-manager/;/realisations/hitachi-yutaki-video-produit-3d/;301;réalisation (score 2);1
/actualites/mase-4-motions/;/realisations/mase-4-motions/;301;réalisation (score 2);1
/actualites/mapping-printemps-lyon/;/realisations/printemps-video-mapping/;301;réalisation (score 2);1
/nos-realisations/hitachi-hikumo/;/realisations/hitachi-hikumo-video-tuto-3d/;301;réalisation (score 2);1
/nos-realisations/mapping-audi/;/realisations/video-mapping-vehicule-audi-a8/;301;réalisation (score 2);1
/actualites/bluevista-video-showreel-2021/;/realisations/bluevista-showreel-video-2021/;301;réalisation (score 2);1
/nos-realisations/hitachi-yutaki/;/realisations/hitachi-yutaki-video-produit-3d/;301;réalisation (score 2);1
/nos-realisations/elistair-orion/;/realisations/elistair-orion-video-produit-animation-3d/;301;réalisation (score 2);1
/actualites/santos-i-grind/;/realisations/santos-i-grind-coffee-grinder-teaser/;301;réalisation (score 2);1
/nos-realisations/koesio-voeux-2024/;/realisations/koesio-convention-2024/;301;réalisation (score 2);1
/nos-realisations/isara-interviews-detudiants/;/realisations/isara-interviews-d-etudiants/;301;réalisation (score 2);1
/nos-realisations/riso-comcolor/;/realisations/riso-comcolor-video-produit/;301;réalisation (score 2);1
/nos-realisations/araymond-share/;/realisations/araymond-share-motion-design-site-internet/;301;réalisation (score 2);1
/nos-realisations/dromis-equans-ineo/;/realisations/dromis-equans-ineo-reportage-video/;301;réalisation (score 3);1
/nos-realisations/pisten-bully-dameuse-360-vr/;/realisations/pisten-bully-dameuse-video-360-vr/;301;réalisation (score 3);1
/actualites/inauguration-intercontinental-lyon-grand-hotel-dieu/;/realisations/tetro-grand-hotel-dieu-video-event/;301;réalisation (score 3);1
/actualites/inauguration-intercontinental-lyon-grand-hotel-dieu/;/realisations/tetro-grand-hotel-dieu-video-event/;301;réalisation (score 3);1
/actualites/vercors-les-chemins-de-la-liberte/;/realisations/pnr-vercors-les-chemins-de-la-liberte-la-cabane-des-carteaux/;301;réalisation (score 3);1
/nos-realisations/eiffage-energie-expercite/;/realisations/eiffage-energie-expercite-video-3d-timelapse/;301;réalisation (score 3);1
/nos-realisations/hitachi-film-catalogue-2021/;/realisations/hitachi-film-catalogue-2021/;301;réalisation (score 3);1
/actualites/video-mapping-lyon-intercontinental-grand-hotel-dieu/;/realisations/tetro-grand-hotel-dieu-video-event/;301;réalisation (score 3);1
/nos-realisations/tetro-stalactite-light-show/;/realisations/tetro-stalactite-light-show-video/;301;réalisation (score 4);1
/nos-realisations/tetro-fete-des-lumieres-2021/;/realisations/tetro-video-fete-des-lumieres-lyon-2021/;301;réalisation (score 4);1
/nos-realisations/icsi-briefing-debriefing-minute-darret/;/realisations/icsi-briefing-debriefing-minute-d-arret/;301;réalisation (score 4);1
/nos-realisations/engie-home-services-migo-thermostat-video/;/realisations/engie-home-services-video-tuto-thermostat-migo/;301;réalisation (score 5);1
/nos-realisations/bos/;⚠️ À RATTACHER À LA MAIN;301;sans cible — a du trafic;1
/nos-realisations/spc/;⚠️ À RATTACHER À LA MAIN;301;sans cible — a du trafic;1
/nos-competences/video-corporate-film-dentreprise/;/savoir-faire/video-corporate-film-dentreprise/;301;savoir-faire — adresse conservée;1
/nos-competences/aftermovie-captation-evenementielle/;(bluevista.ch — chantier séparé);—;suisse, hors périmètre;1
/actualites/;(bluevista.ch — chantier séparé);—;suisse, hors périmètre;1
/nos-competences/;(bluevista.ch — chantier séparé);—;suisse, hors périmètre;1
/contact-devis/;(bluevista.ch — chantier séparé);—;suisse, hors périmètre;1
/nos-competences/creation-immersive-realite-virtuelle/;(bluevista.ch — chantier séparé);—;suisse, hors périmètre;1
/actualites/un-tournage-en-preparation-dans-le-parc-naturel-regional-du-vercors/;(bluevista.ch — chantier séparé);—;suisse, hors périmètre;1
/video-production-in-geneva/;/;301;à trancher;1
/realisation-film-lancement-produit/;/;301;à trancher;1
/the-agency/;/;301;à trancher;1
/realisation-film-evenementiel/;/;301;à trancher;1
/geneva-event-video-production/;/;301;à trancher;1
/corporate-film-in-lyon/;/;301;à trancher;1
/our-skills/aftermovie-event-capture/;/;301;à trancher;1
/advertising-video/;/;301;à trancher;1
/actualites/category/videomapping/;/;301;à trancher;1
/our-skills/3d-animation/;/;301;à trancher;1
/realisation-film-industrie/;/;301;à trancher;1
/contact-quotation/;/;301;à trancher;1
/our-skills/aerial-video-drone/;/;301;à trancher;1
/realisation-film-territoires/;/;301;à trancher;1
/realisation-de-film-evenements/;/;410;obsolète → 410;0
/our-skills/corporate-video-corporate-film/;/;410;obsolète → 410;0
