site;type;adresse;titre;modifie_le;mots_ancien;clics_12m;impressions_12m;position;existe_dans_sanity;genre;nb_paragraphes;nb_sections;videos;titre_seo;description_seo;image;redirection_proposee;texte_reecrit;canonique;donnees_structurees;verifie_au_rendu;note
fr;réalisation;/nos-realisations/serl-video-360-vr/;SERL Vidéo 360 VR;2024-01-21;162;0;139;27.4;non;;;;;;;;/realisations/serl-parc-puy-d-or-video-360-vr/;;;;;
en;page;/our-skills/motion-design/;Motion Design;2024-01-21;602;0;138;25.1;oui;savoir-faire;5;3;2;oui;oui;non;/;;;;;
en;page;/our-achievements/;Our achievements;2024-01-28;457;0;138;15.8;non;;;;;;;;/;;;;;
en;réalisation;/nos-realisations/stann-the-business-management-application/;STANN. THE BUSINESS MANAGEMENT APPLICATION;2024-01-28;105;0;128;11.2;non;;;;;;;;/realisations/stann-presentation-video-de-l-application/;;;;;
fr;réalisation;/nos-realisations/koesio-voeux-2023/;KOESIO – Vœux 2023;2024-01-21;100;0;106;8.2;non;;;;;;;;/realisations/koesio-carte-de-v-ux-video-2023/;;;;;
en;page;/film-production-product-launch/;Film production – Product launch;2024-01-21;190;0;106;10.1;non;;;;;;;;/;;;;;
fr;actualité;/actualites/bluevista-video-showreel-2020/;Bluevista vidéo Showreel 2020;2024-01-21;208;0;100;5.3;non;;;;;;;;/realisations/bluevista-showreel-video-2020/;;;;;
fr;actualité;/actualites/peninsula-octobre-rose/;Peninsula : Octobre Rose;2024-01-24;251;0;96;13.9;non;;;;;;;;/realisations/peninsula-octobre-rose/;;;;;
en;page;/3d-animation-studio-in-lyon/;3D animation studio in Lyon;2024-01-04;292;0;93;9.2;non;;;;;;;;/;;;;;
en;page;/film-production-banking-and-insurance/;Film production – Banking and Insurance;2024-01-21;443;0;92;9.0;non;;;;;;;;/;;;;;
en;réalisation;/nos-realisations/gloupii/;Gloupii;2024-01-28;180;0;87;4.6;non;;;;;;;;/realisations/gloupii-motion-design/;;;;;
fr;réalisation;/nos-realisations/assisqual/;Assisqual;2024-01-21;130;0;84;7.0;non;;;;;;;;/realisations/assisqual-motion-design/;;;;;
en;page;/film-production-territories/;Film production – Territories;2024-01-21;177;0;84;8.4;non;;;;;;;;/;;;;;
fr;actualité;/actualites/nos-dernieres-interviews/;Nos dernières interviews;2024-01-21;252;0;83;4.3;non;;;;;;;;/realisations/nos-dernieres-interviews/;;;;;
fr;réalisation;/nos-realisations/bluevista-creative-une-vraie-equipe-1-la-flexibilite/;Bluevista Creative | « Une Vraie Équipe #1 – La Flexibilité »;2024-01-21;119;0;82;7.2;oui;réalisation;;;oui;non;non;oui;/realisations/bluevista-creative-une-vraie-equipe-1-la-flexibilite/;;;;;
en;page;/film-production-health/;Film production – Healthcare;2024-01-21;220;0;75;40.4;non;;;;;;;;/;;;;;
fr;réalisation;/nos-realisations/gf-gs/;GF-CS;2024-01-21;81;0;71;8.6;non;;;;;;;;⚠️ À RATTACHER À LA MAIN;;;;;
fr;réalisation;/nos-realisations/presentation-video-cpro-en-1-minute/;Présentation Vidéo CPRO En 1 Minute;2024-01-21;144;0;70;18.2;oui;réalisation;;;oui;non;non;oui;/realisations/presentation-video-cpro-en-1-minute/;;;;;
fr;réalisation;/nos-realisations/guitare-en-scene-edition-2023/;Guitare en Scène : Édition 2023;2024-01-21;96;0;61;12.8;non;;;;;;;;/realisations/guitare-en-scene-edition-2023-video-evenement/;;;;;
en;page;/our-skills/aerial-video-drone/;Aerial video / drone;2023-12-07;324;0;61;18.7;non;;;;;;;;/;;;;;
fr;réalisation;/nos-realisations/alorem/;ALOREM;2024-01-21;120;0;57;7.6;non;;;;;;;;/realisations/alorem-video-produit/;;;;;
en;page;/our-skills/;Our skills;2024-01-21;67;0;57;7.9;non;;;;;;;;/;;;;;
fr;page;/realisation-de-film-banques-assurances/;Réalisation de film – Banques et Assurances;2024-01-21;511;0;54;34.4;non;;;;;;;;/;;;;;
en;actualité;/actualites/360-degree-immersion-realization-pisten-bully-snow-groomer/;360-degree immersion realization Pisten Bully snow groomer;2023-12-07;151;0;51;21.5;non;;;;;;;;/realisations/pisten-bully-dameuse-video-360-vr/;;;;;
en;réalisation;/nos-realisations/tetro-stalactite-light-show/;TETRO – Stalactite Light Show;2024-01-28;100;0;50;17.1;non;;;;;;;;/realisations/tetro-stalactite-light-show-video/;;;;;
en;page;/our-skills/video-mapping/;Video Mapping;2023-12-07;602;0;49;10.0;oui;savoir-faire;4;4;6;oui;oui;non;/;;;;;
en;réalisation;/nos-realisations/verizon-connect-video-presentation/;Verizon Connect – Video presentation;2024-01-28;101;0;49;15.0;non;;;;;;;;/realisations/verizon-connect-video-de-presentation/;;;;;
en;réalisation;/nos-realisations/olinn-advertising-video/;Olinn – Advertising video;2024-01-28;83;0;47;8.4;non;;;;;;;;/realisations/olinn-video-publicitaire/;;;;;
en;actualité;/actualites/3d-motion-design-and-mapping-in-paris-at-the-rodin-museum/;3D motion design and mapping in Paris at the Rodin Museum;2023-12-07;158;0;44;19.6;non;;;;;;;;/realisations/motion-design-sodexo/;;;;;
fr;réalisation;/nos-realisations/gf-ds-family/;GF – DS Family;2024-01-21;155;0;42;7.4;non;;;;;;;;/realisations/gf-ds-family-video-corporate-3d-motion-design/;;;;;
fr;réalisation;/nos-realisations/bbgr-360/;BBGR 360;2024-01-21;130;0;42;39.4;non;;;;;;;;/realisations/bbgr-video-360-usine/;;;;;
en;actualité;/actualites/bluevista-creative-video-a-real-team-3-productivity/;bluevista creative | video “A Real Team #3 – Productivity;2024-01-21;181;0;42;10.1;non;;;;;;;;/realisations/bluevista-creative-unicorn-team/;;;;;
fr;actualité;/actualites/equita-lyon-dailynews/;Equita Lyon : Dailynews;2024-01-21;298;0;39;46.9;non;;;;;;;;/realisations/equita-lyon-dailynews-video-2022/;;;;;
fr;réalisation;/nos-realisations/guitare-en-scene-edition-2024/;Guitare en Scène : Édition 2024;2025-01-22;96;0;39;12.7;non;;;;;;;;/realisations/guitare-en-scene-edition-2024-video-evenement/;;;;;
fr;actualité;/actualites/getlive-tv-3-0-la-wbe-tv-selon-bluevista/;GETLIVE TV 3.0 – La web TV selon Bluevista;2024-01-22;104;0;38;8.4;non;;;;;;;;/realisations/getlive-tv-3-0-la-wbe-tv-selon-bluevista/;;;;;
en;réalisation;/nos-realisations/bluevista-creative-a-real-team-1-flexibility/;Bluevista Creative | ” A Real Team #1 – Flexibility “;2024-01-28;109;0;38;8.4;non;;;;;;;;/realisations/bluevista-creative-unicorn-team/;;;;;
en;réalisation;/nos-realisations/elistair-orion/;Elistair – Orion;2024-01-28;123;0;37;19.2;non;;;;;;;;/realisations/elistair-orion-video-produit-animation-3d/;;;;;
en;réalisation;/nos-realisations/dromis-equans-ineo/;Dromis – EQUANS & INEO;2024-01-28;89;0;35;13.7;non;;;;;;;;/realisations/dromis-equans-ineo-reportage-video/;;;;;
fr;réalisation;/nos-realisations/film-corporate-gf-core/;Film corporate GF Core;2024-01-21;149;0;34;16.6;non;;;;;;;;/realisations/film-corporate-gfms-core/;;;;;
en;actualité;/actualites/sport-boules-16th-emile-terrier-trophy/;Sport Boules: 16th Émile Terrier Trophy;2023-12-07;295;0;34;6.6;non;;;;;;;;/realisations/sport-boules-16eme-trophee-emile-terrier/;;;;;
fr;réalisation;/nos-realisations/abb-snk-3d-marine/;ABB – SNK 3D « Marine »;2024-01-21;157;0;33;18.3;non;;;;;;;;/realisations/abb-snk-animation-3d-fiction-marine/;;;;;
en;actualité;/actualites/bluevista-creative-video-a-virtual-world-1-motorcycles/;bluevista creative | video ” A virtual world #1: motorcycles “;2024-01-21;191;0;33;6.6;non;;;;;;;;⚠️ À RATTACHER À LA MAIN;;;;;
fr;actualité;/actualites/bluevista-creative-video-un-monde-virtuel-1-la-moto/;bluevista creative | vidéo « Un monde virtuel #1 : la moto »;2024-01-21;212;0;32;36.1;non;;;;;;;;/realisations/bluevista-creative-un-monde-virtuel-1-la-moto/;;;;;
en;actualité;/actualites/koesio-greeting-card-2023/;Koesio – Greeting card 2023;2023-12-07;329;0;31;18.5;non;;;;;;;;/realisations/koesio-carte-de-v-ux-video-2023/;;;;;
fr;actualité;/actualites/decouvrez-notre-nouvelle-bande-demo-3d/;Découvrez notre nouvelle bande démo 3D;2024-01-21;206;0;28;50.6;non;;;;;;;;/realisations/decouvrez-notre-nouvelle-bande-demo-3d/;;;;;
en;actualité;/actualites/new-hardware-motion-control-kessler/;New hardware – Motion control Kessler;2023-12-07;120;0;28;13.7;non;;;;;;;;/realisations/nouveau-materiel-motion-control-kessler/;;;;;
en;réalisation;/nos-realisations/koesio-greetings-2024/;Koesio – Greetings 2024;2024-01-28;54;0;28;18.9;non;;;;;;;;/realisations/koesio-convention-2024/;;;;;
en;réalisation;/nos-realisations/cisco-motion-design-video-platform/;Cisco motion design video platform;2024-01-28;140;0;28;4.6;non;;;;;;;;/realisations/cisco-video-platform-animation-3d-motion-design/;;;;;
en;réalisation;/nos-realisations/bbgr-360/;BBGR 360;2024-01-28;128;0;28;10.3;non;;;;;;;;/realisations/bbgr-video-360-usine/;;;;;
fr;réalisation;/nos-realisations/nightswapping/;NightSwapping;2024-01-21;233;0;26;10.5;non;;;;;;;;/realisations/nightswapping-video-promotionnelle/;;;;;
fr;réalisation;/nos-realisations/timelapse-lacleda/;Time lapse – La CLEDA;2024-01-21;50;0;26;25.7;non;;;;;;;;/realisations/eiffage-energie-expercite-video-3d-timelapse/;;;;;
en;actualité;/actualites/santos-i-grind-the-coffee-mill/;SANTOS I-GRIND : The Coffee Mill;2023-12-07;352;0;26;6.4;non;;;;;;;;/realisations/santos-i-grind-coffee-grinder-teaser/;;;;;
fr;réalisation;/nos-realisations/e-xpert-solutions-at-defense/;E-XPERT Solutions – AtDefense;2024-01-21;71;0;25;32.4;non;;;;;;;;/realisations/e-xpert-solutions-video-voeux-2022/;;;;;
en;actualité;/actualites/aravi-season-2022-2023/;ARAVI – Season 2022/2023;2023-12-07;297;0;25;6.6;non;;;;;;;;/realisations/aravi-saison-2022-2023-reportages-video/;;;;;
fr;réalisation;/nos-realisations/aravi-saison-2022-2023/;ARAVI – Saison 2022/2023;2024-01-21;86;0;24;12.1;non;;;;;;;;/realisations/aravi-saison-2022-2023-reportages-video/;;;;;
en;réalisation;/nos-realisations/cpro-no-need-to-add-more/;C’PRO – “No Need to Add More;2024-01-28;100;0;24;28.9;non;;;;;;;;⚠️ À RATTACHER À LA MAIN;;;;;
en;réalisation;/nos-realisations/deko-presentation-film/;Deko Presentation film;2024-01-28;153;0;24;14.0;non;;;;;;;;/realisations/deko-film-de-presentation/;;;;;
en;page;/our-skills/green-screen-studio-compositing/;Green screen studio / compositing;2024-01-21;178;0;23;18.8;non;;;;;;;;/;;;;;
fr;actualité;/actualites/bluevista-creative-video-une-vraie-equipe-3-la-productivite/;bluevista creative | vidéo « Une vraie équipe #3 – la productivité »;2024-01-21;198;0;22;9.9;non;;;;;;;;/realisations/bluevista-creative-une-vraie-equipe-3-la-productivite/;;;;;
en;réalisation;/nos-realisations/tetro-fete-des-lumieres-2021/;TETRO – Fête Des Lumières 2021;2024-01-28;71;0;22;24.1;non;;;;;;;;/realisations/tetro-video-fete-des-lumieres-lyon-2021/;;;;;
en;réalisation;/nos-realisations/qwartz/;Qwartz;2024-01-28;112;0;22;13.2;non;;;;;;;;/realisations/qwartz-video-de-presentation-centre-commercial/;;;;;
fr;réalisation;/nos-realisations/cpro-pas-besoin-den-rajouter/;C’PRO – « Pas Besoin D’en Rajouter »;2024-01-21;110;0;21;8.4;non;;;;;;;;/realisations/c-pro-pas-besoin-d-en-rajouter-video-publicitaire/;;;;;
fr;actualité;/actualites/realisation-de-film-dentreprise-ou-corporate/;Réalisation de film d’entreprise ou corporate;2024-01-21;198;0;20;19.4;non;;;;;;;;⚠️ À RATTACHER À LA MAIN;;;;;
fr;actualité;/actualites/nouveau-materiel-motion-control-kessler/;Nouveau matériel – Motion control Kessler;2024-01-21;133;0;20;8.0;non;;;;;;;;/realisations/nouveau-materiel-motion-control-kessler/;;;;;
fr;réalisation;/nos-realisations/clip-report-massy-grand-ouest/;Clip Report Massy Grand Ouest;2024-01-21;188;0;20;7.7;non;;;;;;;;/realisations/clip-report-event-massy-grand-ouest/;;;;;
en;réalisation;/nos-realisations/hitachi-hikumo/;Hitachi – Hikumo;2024-01-28;79;0;20;7.3;non;;;;;;;;/realisations/hitachi-hikumo-video-tuto-3d/;;;;;
en;réalisation;/nos-realisations/abb-snk-3d-solar/;ABB – SNK 3D “Solar;2024-01-28;135;0;20;10.8;non;;;;;;;;⚠️ À RATTACHER À LA MAIN;;;;;
en;actualité;/actualites/50-years-of-lpa-a-lyonnaise-story/;50 years of LPA, a Lyonnaise story;2023-12-07;126;0;19;6.5;non;;;;;;;;⚠️ À RATTACHER À LA MAIN;;;;;
en;réalisation;/nos-realisations/hitachi-film-catalogue-2021/;HITACHI – Film Catalogue 2021;2024-01-28;63;0;19;9.2;oui;réalisation;;;oui;non;non;oui;/realisations/hitachi-film-catalogue-2021/;;;;;
en;réalisation;/nos-realisations/cpro-film-corpo/;C’PRO – Film Corpo;2024-01-28;93;0;19;13.6;non;;;;;;;;/realisations/presentation-video-cpro-en-1-minute/;;;;;
en;réalisation;/nos-realisations/naos-contributor-interview/;Naos – Contributor interview;2024-01-28;167;0;19;17.7;non;;;;;;;;/realisations/naos-interview-collaborateur/;;;;;
fr;réalisation;/nos-realisations/mapping-toky/;Mapping – Toky;2024-01-21;126;0;18;4.9;non;;;;;;;;/realisations/toky-video-mapping-3d/;;;;;
en;actualité;/actualites/guitare-en-scene-2023/;Guitare en Scène 2023;2023-12-07;301;0;18;11.6;non;;;;;;;;/realisations/guitare-en-scene-edition-2023-video-evenement/;;;;;
en;actualité;/actualites/technical-3d-animation-explaining-the-renovation-work-on-the-grande-arche-de-la-defense/;Technical 3D animation explaining the renovation work on the Grande Arche de la Défense;2023-12-07;110;0;16;7.4;non;;;;;;;;/realisations/animation-3d-grande-arche-de-la-defense/;;;;;
en;réalisation;/nos-realisations/mase-rhone-alpes-motion-design/;MASE Rhône-Alpes – Motion Design;2024-01-28;69;0;16;11.4;oui;réalisation;;;oui;non;non;oui;/realisations/mase-rhone-alpes-motion-design/;;;;;
fr;réalisation;/nos-realisations/cemoi-a-360/;Cémoi à 360°;2024-01-21;133;0;15;8.9;non;;;;;;;;/realisations/cemoi-video-3d-360-vr/;;;;;
en;actualité;/actualites/360-video-production-project/;360° video production project;2023-12-07;164;0;15;14.5;non;;;;;;;;⚠️ À RATTACHER À LA MAIN;;;;;
en;réalisation;/nos-realisations/mapping-audi/;Mapping Audi;2024-01-28;172;0;15;15.5;non;;;;;;;;/realisations/video-mapping-vehicule-audi-a8/;;;;;
fr;réalisation;/nos-realisations/icsi-briefing-debriefing-minute-darret-2/;ICSI – BRIEFING / DEBRIEFING / MINUTE D’ARRET;2025-01-22;82;0;14;28.0;non;;;;;;;;/realisations/icsi-briefing-debriefing-minute-d-arret/;;;;;
fr;réalisation;/nos-realisations/hitachi-triple-c/;Hitachi – Triple C;2024-01-21;113;0;14;19.9;non;;;;;;;;/realisations/hitachi-triple-c-film-promo/;;;;;
fr;réalisation;/nos-realisations/sfs-intec/;SFS Intec;2024-01-21;174;0;14;6.7;non;;;;;;;;⚠️ À RATTACHER À LA MAIN;;;;;
fr;réalisation;/nos-realisations/cpro-film-corpo/;C’PRO – Film Corpo;2024-01-21;96;0;13;13.8;non;;;;;;;;/realisations/presentation-video-cpro-en-1-minute/;;;;;
en;actualité;/actualites/peninsula-pink-october/;Peninsula: Pink October;2023-12-07;243;0;13;6.9;non;;;;;;;;⚠️ À RATTACHER À LA MAIN;;;;;
en;actualité;/actualites/live-video-homeserve-20ans/;Live Vidéo HomeServe – 20ans;2024-01-21;178;0;13;13.8;non;;;;;;;;/realisations/live-video-homeserve-20ans/;;;;;
en;actualité;/actualites/bluevista-creative-video-a-real-team-2-diversity/;bluevista creative | video “A real team #2 – diversity;2024-01-21;162;0;13;2.9;non;;;;;;;;/realisations/bluevista-creative-unicorn-team/;;;;;
en;réalisation;/nos-realisations/hdi-moving-to-the-new-tower/;HDI – Moving to the New Tower;2024-01-28;75;0;13;8.5;non;;;;;;;;⚠️ À RATTACHER À LA MAIN;;;;;
fr;page;/film-entreprise-lyon-15-ans-experience/;Film d’entreprise Lyon -15 ans d’expérience;2024-01-21;310;0;12;7.7;non;;;;;;;;/;;;;;
fr;actualité;/actualites/live-video-homeserve-20ans/;Live Vidéo HomeServe – 20ans;2024-01-21;187;0;12;14.3;non;;;;;;;;/realisations/live-video-homeserve-20ans/;;;;;
fr;réalisation;/nos-realisations/printemps-mapping/;Printemps : Mapping;2024-01-21;175;0;12;12.0;non;;;;;;;;/realisations/printemps-video-mapping/;;;;;
fr;réalisation;/nos-realisations/tetro-deepweb/;TETRO – DeepWeb;2024-01-21;257;0;12;8.4;non;;;;;;;;/realisations/tetro-deepweb-clip-video-evenement/;;;;;
fr;réalisation;/nos-realisations/riso-comcolor/;Riso Comcolor;2024-01-21;167;0;12;6.9;non;;;;;;;;/realisations/riso-comcolor-video-produit/;;;;;
fr;réalisation;/nos-realisations/30-ans-bocuse-dor-tamas-szell/;30 ans Bocuse d’or – Tamas Szell;2024-01-21;141;0;12;3.8;non;;;;;;;;/realisations/30-ans-bocuse-d-or-interview-video-tamas-szell/;;;;;
en;page;/corporate-film-paris-15-years-of-experience/;Corporate film Paris – 15 years of experience;2024-01-25;446;0;12;15.8;non;;;;;;;;/;;;;;
en;actualité;/actualites/artcurial-mapping-20-years/;Artcurial: Mapping 20 years;2024-01-19;278;0;12;21.7;non;;;;;;;;/realisations/artcurial-video-mapping/;;;;;
en;actualité;/actualites/clip-corporate-bos-equipement/;Clip Corporate BOS Equipement;2023-12-07;41;0;12;29.8;non;;;;;;;;/realisations/bos-equipement-video-corporate/;;;;;
en;réalisation;/nos-realisations/e-xpert-solutions-zero-trust/;E-XPERT Solutions – Zero Trust;2024-01-28;74;0;12;35.8;non;;;;;;;;/realisations/e-xpert-solutions-zero-trust-video-publicitaire-fiction/;;;;;
en;réalisation;/nos-realisations/wallmapping-tokys-mesaventures/;Wallmapping – Toky’s Mesaventures;2024-01-28;98;0;12;12.4;non;;;;;;;;/realisations/wallmapping-les-mesaventures-de-toky-animation-3d/;;;;;
fr;réalisation;/nos-realisations/aravi-saison-2024/;ARAVI – Saison 2024;2025-01-22;86;0;11;19.0;non;;;;;;;;/realisations/aravi-saison-2024-reportages-video/;;;;;
fr;réalisation;/nos-realisations/bluevista-creative-une-vraie-equipe-3-la-productivite/;Bluevista creative | « Une vraie équipe #3 – la productivité »;2024-01-21;125;0;11;9.5;oui;réalisation;;;oui;non;non;oui;/realisations/bluevista-creative-une-vraie-equipe-3-la-productivite/;;;;;
fr;réalisation;/nos-realisations/naos-interview-collaborateur-2/;Naos – Interview Collaborateur;2024-01-21;150;0;11;6.4;non;;;;;;;;/realisations/naos-interview-collaborateur/;;;;;
en;actualité;/actualites/mase-rhone-alpes-motions/;MASE Rhône Alpes : Motions;2024-01-22;309;0;11;7.0;non;;;;;;;;/realisations/mase-rhone-alpes-motion-design/;;;;;
en;réalisation;/nos-realisations/clip-report-massy-grand-ouest/;Clip Report Massy Grand Ouest;2024-01-28;177;0;11;26.9;non;;;;;;;;/realisations/clip-report-event-massy-grand-ouest/;;;;;
fr;actualité;/actualites/streaming-live-et-webtv-demo-2018/;Streaming Live et WebTV démo 2018;2024-01-21;190;0;10;14.5;non;;;;;;;;/realisations/streaming-live-et-webtv-demo-2018/;;;;;
fr;réalisation;/nos-realisations/hdi-demenagement-nouvelle-tour/;HDI – Déménagement Nouvelle Tour;2024-01-19;72;0;10;5.6;oui;réalisation;;;oui;non;non;oui;/realisations/hdi-demenagement-nouvelle-tour/;;;;;
fr;réalisation;/nos-realisations/abb-snk-3d-industrie/;ABB – SNK 3D « Industrie »;2024-01-21;148;0;10;10.3;non;;;;;;;;/realisations/sfs-menuiserie-industrie/;;;;;
en;actualité;/actualites/bluevista-video-showreel-2021/;Bluevista video Showreel 2021;2024-01-21;188;0;10;7.6;non;;;;;;;;/realisations/bluevista-showreel-video-2021/;;;;;
en;réalisation;/nos-realisations/tetro-navya/;TETRO – NAVYA;2024-01-28;141;0;10;13.9;non;;;;;;;;/realisations/tetro-film-presentation-vehicule-navya/;;;;;
en;réalisation;/nos-realisations/gf-core-corporate-film/;GF Core corporate film;2024-01-28;144;0;10;9.4;non;;;;;;;;/realisations/film-corporate-gfms-core/;;;;;
fr;actualité;/actualites/serie-de-6-videos-promotionnelles-pour-les-produits-abb-snk/;Série de 6 vidéos promotionnelles pour les produits ABB SNK;2024-01-21;82;0;9;5.2;non;;;;;;;;/realisations/serie-de-6-videos-promotionnelles-pour-les-produits-abb-snk/;;;;;
fr;réalisation;/nos-realisations/irisolaris-presentation-groupe-2024/;IRISOLARIS – Présentation Groupe 2024;2025-01-22;85;0;9;9.4;oui;réalisation;;;oui;non;non;oui;/realisations/irisolaris-presentation-groupe-2024/;;;;;
fr;réalisation;/nos-realisations/ghi/;GHI;2024-01-21;193;0;9;7.1;non;;;;;;;;⚠️ À RATTACHER À LA MAIN;;;;;
fr;réalisation;/nos-realisations/wall-mapping-les-mesaventures-de-toky/;Wallmapping – Les Mesaventures de Toky;2024-01-21;96;0;9;5.9;non;;;;;;;;/realisations/toky-video-mapping-3d/;;;;;
en;réalisation;/nos-realisations/tetro-fete-des-lumieres-2022/;TETRO – Fête Des Lumières 2022;2024-01-28;73;0;9;13.2;non;;;;;;;;/realisations/tetro-video-fete-des-lumieres-lyon-2022/;;;;;
en;réalisation;/nos-realisations/arrow-abox-memo/;ARROW – Abox Memo;2024-01-28;46;0;9;26.4;non;;;;;;;;/realisations/arrow-abox-memo-animation-3d/;;;;;
fr;actualité;/actualites/un-motion-design-a-lancienne-making-of/;Un motion design « à l’ancienne » – Making of;2024-01-21;61;0;8;12.3;non;;;;;;;;/realisations/motion-design-sodexo/;;;;;
fr;réalisation;/nos-realisations/sfs-enveloppe-structure/;SFS – Enveloppe & Structure;2025-01-22;71;0;8;30.1;oui;réalisation;;;oui;non;non;oui;/realisations/sfs-enveloppe-structure/;;;;;
fr;réalisation;/nos-realisations/tetro-fete-des-lumieres-2022/;TETRO – Fête Des Lumières 2022;2024-01-21;73;0;8;4.3;non;;;;;;;;/realisations/tetro-video-fete-des-lumieres-lyon-2022/;;;;;
fr;réalisation;/nos-realisations/opiiec/;OPIIEC;2024-01-21;111;0;8;8.0;non;;;;;;;;/realisations/opiiec-motio-design-site-internet/;;;;;
fr;réalisation;/nos-realisations/clasquin-convention-2024/;HUILES BERLIET – FOOH – LYON;2025-03-25;78;0;7;31.6;non;;;;;;;;/realisations/koesio-convention-2024/;;;;;
fr;réalisation;/nos-realisations/koesio-voeux-2025/;Koesio – Vœux 2025;2025-01-22;53;0;7;22.6;non;;;;;;;;/realisations/koesio-carte-de-v-ux-video-2025/;;;;;
fr;réalisation;/nos-realisations/lyon-la-duchere-arbre-de-noel/;Lyon – La Duchère – Arbre de Noël;2024-01-18;96;0;7;6.7;oui;réalisation;;;oui;non;non;oui;/realisations/lyon-la-duchere-arbre-de-noel/;;;;;
fr;réalisation;/nos-realisations/motion-design-sodexo/;Motion Design Sodexo;2024-01-21;126;0;7;7.4;oui;réalisation;;;oui;non;non;oui;/realisations/motion-design-sodexo/;;;;;
en;réalisation;/nos-realisations/icsi-briefing-debriefing-minute-darret/;ICSI – BRIEFING / DEBRIEFING / MINUTE D’ARRÊT;2024-02-28;85;0;7;12.9;non;;;;;;;;/realisations/icsi-briefing-debriefing-minute-d-arret/;;;;;
en;réalisation;/nos-realisations/e-xpert-solutions-ecd/;E-XPERT Solutions – ECD;2024-01-28;72;0;7;8.6;non;;;;;;;;/realisations/e-xpert-solutions-video-voeux-2022/;;;;;
fr;actualité;/actualites/bluevista-creative-unicorn-team/;bluevista creative | « Unicorn Team »;2024-01-21;162;0;6;33.5;oui;réalisation;;;oui;non;non;oui;/realisations/bluevista-creative-unicorn-team/;;;;;
fr;actualité;/actualites/clip-corporate-bos-equipement/;Clip Corporate BOS Equipement;2024-01-21;47;0;6;11.8;non;;;;;;;;/realisations/bos-equipement-video-corporate/;;;;;
fr;actualité;/actualites/la-realite-virtuelle-oculus-a-bluevista/;La réalité virtuelle Oculus à Bluevista;2024-01-21;209;0;6;9.8;non;;;;;;;;/realisations/la-realite-virtuelle-oculus-a-bluevista/;;;;;
fr;réalisation;/nos-realisations/bluevista-motion-design/;Le Motion-design chez bluevista;2024-02-28;46;0;6;4.7;non;;;;;;;;/realisations/motion-design-sodexo/;;;;;
fr;réalisation;/nos-realisations/amplitude-voeux-2024/;Amplitude – Vœux 2024;2024-01-21;51;0;6;38.0;non;;;;;;;;/realisations/amplitude-carte-de-v-ux-video-2024/;;;;;
en;réalisation;/nos-realisations/hitachi-yutaki/;Hitachi – Yutaki;2024-01-28;90;0;6;7.5;non;;;;;;;;/realisations/hitachi-yutaki-video-produit-3d/;;;;;
en;réalisation;/nos-realisations/mapping-toky/;Mapping – Toky;2024-01-28;129;0;6;10.2;non;;;;;;;;/realisations/toky-video-mapping-3d/;;;;;
en;réalisation;/nos-realisations/we-see-big/;We See Big;2024-01-28;103;0;6;6.0;non;;;;;;;;⚠️ À RATTACHER À LA MAIN;;;;;
en;réalisation;/nos-realisations/cera-innovation-agency/;CERA – Innovation Agency;2024-01-28;85;0;6;5.0;non;;;;;;;;/realisations/cera-agence-innovation-motion-design/;;;;;
ch;réalisation;/nos-realisations/elistair-orion/;Video produit Elistair – Orion;2024-03-18;135;0;6;9.2;non;;;;;;;;/realisations/elistair-orion-video-produit-animation-3d/;;;;;
fr;actualité;/actualites/artcurial-20ans/;Artcurial : Mapping 20ans;2024-01-21;307;0;5;22.0;non;;;;;;;;/realisations/artcurial-20ans/;;;;;
fr;actualité;/actualites/realisation-de-3-clips-produit-en-studio-pour-la-societe-riso/;Réalisation de 3 clips produit en studio pour la société RISO;2024-01-21;107;0;5;11.6;non;;;;;;;;/realisations/riso-comcolor-video-produit/;;;;;
fr;réalisation;/nos-realisations/sfs-menuiserie-industrie/;SFS – Menuiserie & Industrie;2025-01-22;71;0;5;5.8;oui;réalisation;;;oui;non;non;oui;/realisations/sfs-menuiserie-industrie/;;;;;
fr;réalisation;/nos-realisations/mase-motion-design/;MASE Rhône-Alpes – Motion Design;2024-01-19;71;0;5;7.6;non;;;;;;;;/realisations/mase-rhone-alpes-motion-design/;;;;;
fr;réalisation;/nos-realisations/icsi-briefing-debriefing-minute-darret-3/;ICSI – BRIEFING / DEBRIEFING / MINUTE D’ARRET;2024-01-19;82;0;5;22.0;non;;;;;;;;/realisations/icsi-briefing-debriefing-minute-d-arret/;;;;;
fr;réalisation;/nos-realisations/santos-i-grind-coffee-grinder-reveal/;SANTOS – I-GRIND Coffee Grinder – Reveal;2024-02-28;68;0;5;8.6;oui;réalisation;;;oui;non;non;oui;/realisations/santos-i-grind-coffee-grinder-reveal/;;;;;
fr;réalisation;/nos-realisations/motion-design-veama/;Motion Design VEAMA;2024-01-21;205;0;5;5.4;non;;;;;;;;/realisations/motion-design-sodexo/;;;;;
fr;réalisation;/nos-realisations/tetro-carre-senart/;TETRO – Carré Sénart;2024-01-21;135;0;5;10.0;non;;;;;;;;/realisations/tetro-carre-senart-show-drone/;;;;;
fr;réalisation;/nos-realisations/cisco-1/;Cisco motion design 5G;2024-01-21;146;0;5;47.2;non;;;;;;;;/realisations/cisco-5g-motion-design-3d/;;;;;
fr;réalisation;/nos-realisations/tetro-ox/;TETRO – OX;2024-01-21;188;0;5;7.0;non;;;;;;;;/realisations/tetro-carre-senart-show-drone/;;;;;
