identifiant_vimeo;url_vimeo;titre_vimeo;duree;etat_vimeo;nb_actualites;actualites;titre_de_la_1re_actualite;date_de_la_1re_actualite;slug_livid;url_livid;embed_actif;introuvable
249078214;https://vimeo.com/249078214;;;public;1;realisation-de-film-dentreprise-ou-corporate;Réalisation de film d’entreprise ou corporate;2018-11-20;;;;
875510106;https://vimeo.com/875510106;SANTOS - I-GRIND Coffee Grinder - Reveal;1:02;public;1;santos-i-grind;SANTOS I-GRIND : Le Moulin à Café;2023-11-06;;;;
301837506;https://vimeo.com/301837506;bluevista | Showreel Motion Design;1:00;public;1;show-reel-motion-design;Show reel Motion Design;2018-11-29;;;;
298970623;https://vimeo.com/298970623;bluevista | Showreel Drone 2018;0:54;public;1;show-reel-videos-drone;Show reel vidéos drone;2018-11-22;;;;
875599603;https://vimeo.com/875599603;Trophée Émile Terrier - ET 2023 - Film Complet;29:53;public;1;sport-boules-16eme-trophee-emile-terrier;Sport Boules : 16ème Trophée Émile Terrier;2023-11-27;;;;
745758314;https://vimeo.com/745758314;STANN Film Presentation;3:12;public;1;stann;STANN.;2024-02-05;;;;
126692875;https://vimeo.com/126692875;Instants de tournage;0:41;public;1;timelapse-de-tournage-en-studio;Timelapse de tournage en studio;2015-05-02;;;;
398565590;https://vimeo.com/398565590;SANTOS Centrifugeuse #65;2:26;public;1;tournage-en-studio-film-produit-santos;Tournage en studio – Film produit Santos;2020-03-18;;;;
125745232;https://vimeo.com/125745232;Making of - motion design vintage;0:42;public;1;un-motion-design-a-lancienne-making-of;Un motion design « à l’ancienne » – Making of;2014-07-19;;;;
875506441;https://vimeo.com/875506441;;;privée ou supprimée;1;vercors-les-chemins-de-la-liberte;VERCORS : LES CHEMINS DE LA LIBERTE;2023-12-11;;;;
249078324;https://vimeo.com/249078324;Bluevista 360 / VR reel;2:19;public;1;video-immersive-360;Vidéo immersive 360°;2014-02-01;;;;
293100860;https://vimeo.com/293100860;;;public;1;video-immersive-360;Vidéo immersive 360°;2014-02-01;;;;
216161170;https://vimeo.com/216161170;;;public;1;video-immersive-360;Vidéo immersive 360°;2014-02-01;;;;
276250997;https://vimeo.com/276250997;Pisten Bully - VR Mountain Planet;2:01;public;1;video-immersive-360;Vidéo immersive 360°;2014-02-01;;;;
276232570;https://vimeo.com/276232570;CEMOI - grands crus cacao VR;1:38;public;1;video-immersive-360;Vidéo immersive 360°;2014-02-01;;;;
381529486;https://vimeo.com/381529486;VideoMapping - Intercontinental Grand Hôtel Dieu;2:55;public;1;video-mapping-lyon-intercontinental-grand-hotel-dieu;Vidéo mapping Lyon – InterContinental Grand Hôtel Dieu;2019-12-26;;;;
