page;query;clics;impressions;ctr;position
"https://www.bluevistaprod.com/actualites/bluevista-video-showreel-2023/";"bluevista production";1;249;0.40;4.2
"https://www.bluevistaprod.com/actualites/video-immersive-360/";"360 immersion";1;1;100.00;10.0
"https://www.bluevistaprod.com/actualites/video-immersive-360/";"immersive video";1;36;2.78;8.3
"https://www.bluevistaprod.com/contact-devis/";"bluevista lyon";1;5;20.00;1.0
"https://www.bluevistaprod.com/nos-competences/aftermovie-captation-evenementielle/";"aftermovie";1;1924;0.05;10.9
"https://www.bluevistaprod.com/nos-competences/aftermovie-captation-evenementielle/";"aftermovie video";1;14;7.14;24.3
"https://www.bluevistaprod.com/nos-competences/animation-3d/";"studio d'animation 3d";1;14;7.14;68.4
"https://www.bluevistaprod.com/nos-competences/creation-immersive-realite-virtuelle/";"creation video immersive";1;127;0.79;11.6
"https://www.bluevistaprod.com/nos-competences/live-streaming-webtv/";"bluvista tv";1;15;6.67;30.3
"https://www.bluevistaprod.com/nos-competences/live-streaming-webtv/";"web tv en direct";1;26;3.85;20.3
"https://www.bluevistaprod.com/nos-competences/live-streaming-webtv/";"web tv live stream";1;2;50.00;5.0
"https://www.bluevistaprod.com/nos-competences/live-streaming-webtv/";"web tv stream";1;12;8.33;8.1
"https://www.bluevistaprod.com/nos-competences/live-streaming-webtv/";"webtv direct";1;32;3.13;17.0
"https://www.bluevistaprod.com/nos-competences/motion-design/";"motion design genève";1;85;1.18;8.8
"https://www.bluevistaprod.com/nos-competences/motion-design/";"studio motion design";1;856;0.12;73.7
"https://www.bluevistaprod.com/nos-competences/studio-fond-vert-compositing/";"fond vert lyon";1;209;0.48;16.9
"https://www.bluevistaprod.com/nos-competences/studio-fond-vert-compositing/";"studio fond vert lyon";1;489;0.20;28.0
"https://www.bluevistaprod.com/nos-competences/video-mapping/";"video mapping geneve";1;131;0.76;9.4
"https://www.bluevistaprod.com/nos-competences/video-mapping/";"video mapping paris";1;488;0.20;11.3
"https://www.bluevistaprod.com/nos-realisations/";"bluevista production";1;176;0.57;1.2
"https://www.bluevistaprod.com/nos-realisations/deko-film-de-presentation/";"deko film";1;5;20.00;4.0
"https://www.bluevistaprod.com/nos-realisations/eiffage-energie-expercite/";"expercité eiffage";1;335;0.30;7.1
"https://www.bluevistaprod.com/nos-realisations/engie-home-services-video-thermostat-migo/";"réinitialiser thermostat migo";1;34;2.94;3.4
"https://www.bluevistaprod.com/nos-realisations/engie-home-services-video-thermostat-migo/";"saunier duval migo installation";1;9;11.11;11.0
"https://www.bluevistaprod.com/nos-realisations/engie-home-services-video-thermostat-migo/";"thermostat connecté engie";1;387;0.26;14.5
"https://www.bluevistaprod.com/nos-realisations/engie-home-services-video-thermostat-migo/";"thermostat engie";1;548;0.18;9.8
"https://www.bluevistaprod.com/nos-realisations/engie-home-services-video-thermostat-migo/";"thermostat migo saunier duval";1;147;0.68;10.0
"https://www.bluevistaprod.com/nos-realisations/engie-home-services-video-thermostat-migo/";"thermostat saunier duval migo";1;45;2.22;9.5
"https://www.bluevistaprod.com/nos-realisations/hitachi-cs-net/";"hitachi csnet lite";1;10;10.00;10.0
"https://www.bluevistaprod.com/nos-realisations/spc/";"spc film";1;4;25.00;4.0
"https://www.bluevistaprod.com/nos-realisations/stann-lapplication-de-gestion-dentreprise/";"application stan";1;5;20.00;9.6
"https://www.bluevistaprod.com/realisation-film-entreprise-lyon/";"agence film d'entreprise";1;50;2.00;58.5
"https://www.bluevistaprod.com/realisation-film-entreprise-lyon/";"blue vista";1;182;0.55;1.1
"https://www.bluevistaprod.com/realisation-film-entreprise-lyon/";"bluevista";1;545;0.18;1.0
"https://www.bluevistaprod.com/realisation-film-entreprise-lyon/";"bluevista production";1;301;0.33;1.4
"https://www.bluevistaprod.com/realisation-film-evenementiel/";"bluevista";1;8;12.50;6.0
"https://www.bluevistaprod.com/studio-animation-3d-lyon/";"animation 3d entreprise";1;56;1.79;23.9
"https://www.bluevistaprod.com/studio-animation-3d-lyon/";"animation 3d lyon";1;413;0.24;20.1
"https://www.bluevistaprod.com/studio-animation-3d-lyon/";"animation 3d studio";1;9;11.11;33.0
"https://www.bluevistaprod.com/studio-animation-3d-lyon/";"entreprise dessin animé";1;10;10.00;5.4
"https://www.bluevistaprod.com/studio-animation-3d-lyon/";"film 3d lyon";1;113;0.88;9.8
"https://www.bluevistaprod.com/studio-animation-3d-lyon/";"film d'animation lyon";1;69;1.45;14.3
"https://www.bluevistaprod.com/studio-animation-3d-lyon/";"studio 3d animation";1;155;0.65;34.4
"https://www.bluevistaprod.com/studio-animation-3d-lyon/";"studio animation";1;459;0.22;46.9
"https://www.bluevistaprod.com/studio-animation-3d-lyon/";"studio animation 2d lyon";1;19;5.26;21.3
"https://www.bluevistaprod.com/studio-animation-3d-lyon/";"studio d'animation 3d";1;223;0.45;19.2
"https://www.bluevistaprod.com/studio-animation-3d-paris/";"3d animation studio";1;510;0.20;30.7
"https://www.bluevistaprod.com/studio-animation-3d-paris/";"studios d'animation paris";1;318;0.31;28.7
"https://www.bluevistaprod.com/video-promotionnelle/";"bluevista production";1;220;0.45;1.0
"https://www.bluevistaprod.com/video-publicitaire/";"publicité vidéo";1;1262;0.08;35.8
"https://www.bluevistaprod.com/";"action prod studio";0;2;0.00;69.5
"https://www.bluevistaprod.com/";"adultvista";0;1;0.00;16.0
"https://www.bluevistaprod.com/";"agence animation video";0;12;0.00;19.7
"https://www.bluevistaprod.com/";"agence animation vidéo";0;39;0.00;31.4
"https://www.bluevistaprod.com/";"agence audiovisuel";0;16;0.00;34.4
"https://www.bluevistaprod.com/";"agence audiovisuel lyon";0;2;0.00;49.5
"https://www.bluevistaprod.com/";"agence audiovisuelle industrie pharmaceutique";0;45;0.00;25.2
"https://www.bluevistaprod.com/";"agence audiovisuelle lyon";0;5;0.00;11.2
"https://www.bluevistaprod.com/";"agence captation vidéo";0;2;0.00;37.0
"https://www.bluevistaprod.com/";"agence cideo";0;2;0.00;7.5
"https://www.bluevistaprod.com/";"agence communication multimédia lyon";0;51;0.00;42.5
"https://www.bluevistaprod.com/";"agence communication video";0;109;0.00;11.6
"https://www.bluevistaprod.com/";"agence communication vidéo";0;117;0.00;9.6
"https://www.bluevistaprod.com/";"agence communication vidéo genève";0;50;0.00;2.0
"https://www.bluevistaprod.com/";"agence communication vidéo lyon";0;59;0.00;19.8
"https://www.bluevistaprod.com/";"agence communication vidéo paris";0;4;0.00;26.8
