page;clics;impressions;ctr;position
"https://www.bluevistaprod.com/nos-realisations/gloupii/";1;28;3.57;10.0
"https://www.bluevistaprod.com/nos-realisations/hitachi-film-catalogue-2021/";1;24;4.17;5.8
"https://www.bluevistaprod.com/nos-realisations/hitachi-hikumo/";1;161;0.62;9.5
"https://www.bluevistaprod.com/nos-realisations/hitachi-yutaki/";1;85;1.18;17.5
"https://www.bluevistaprod.com/nos-realisations/icsi-briefing-debriefing-minute-darret/";1;10;10.00;21.1
"https://www.bluevistaprod.com/nos-realisations/isara-interviews-detudiants/";1;11;9.09;9.3
"https://www.bluevistaprod.com/nos-realisations/koesio-voeux-2024/";1;15;6.67;6.8
"https://www.bluevistaprod.com/nos-realisations/mapping-audi/";1;98;1.02;12.8
"https://www.bluevistaprod.com/nos-realisations/olinn-video-publicitaire/";1;327;0.31;9.4
"https://www.bluevistaprod.com/nos-realisations/pisten-bully-dameuse-360-vr/";1;212;0.47;17.7
"https://www.bluevistaprod.com/nos-realisations/spc/";1;8;12.50;4.5
"https://www.bluevistaprod.com/nos-realisations/tetro-fete-des-lumieres-2021/";1;14;7.14;4.4
"https://www.bluevistaprod.com/nos-realisations/tetro-stalactite-light-show/";1;14;7.14;4.8
"https://www.bluevistaprod.com/realisation-film-evenementiel/";1;313;0.32;20.6
"https://www.bluevistaprod.com/realisation-film-industrie/";1;120;0.83;12.3
"https://www.bluevistaprod.com/realisation-film-lancement-produit/";1;2050;0.05;24.6
"https://www.bluevistaprod.com/realisation-film-territoires/";1;51;1.96;12.8
"https://www.bluevistaprod.com/actualites/";0;516;0.00;26.3
"https://www.bluevistaprod.com/actualites/aravi-saison-2022-2023/";0;876;0.00;8.6
"https://www.bluevistaprod.com/actualites/artcurial-20ans/";0;5;0.00;22.0
"https://www.bluevistaprod.com/actualites/author/guillaume/page/2/";0;5;0.00;11.8
"https://www.bluevistaprod.com/actualites/bluevista-creative-la-pizza/";0;1;0.00;9.0
"https://www.bluevistaprod.com/actualites/bluevista-creative-unicorn-team/";0;6;0.00;33.5
"https://www.bluevistaprod.com/actualites/bluevista-creative-video-un-monde-virtuel-1-la-moto/";0;32;0.00;36.1
"https://www.bluevistaprod.com/actualites/bluevista-creative-video-une-vraie-equipe-1-la-flexibilite/";0;2;0.00;13.5
"https://www.bluevistaprod.com/actualites/bluevista-creative-video-une-vraie-equipe-2-la-diversite/";0;2;0.00;3.0
"https://www.bluevistaprod.com/actualites/bluevista-creative-video-une-vraie-equipe-3-la-productivite/";0;22;0.00;9.9
"https://www.bluevistaprod.com/actualites/bluevista-video-showreel-2020/";0;100;0.00;5.3
"https://www.bluevistaprod.com/actualites/category/animation_3d/";0;24;0.00;35.5
"https://www.bluevistaprod.com/actualites/category/animation_3d/feed/";0;1;0.00;7.0
"https://www.bluevistaprod.com/actualites/category/corporate/page/2/";0;3;0.00;11.0
